"DATARES";"TEMPERATURA";"EXTREAL"
"1980-06-30 00:00:00.0";"21.2";"-238.74"
"1980-07-31 00:00:00.0";"24.4";"-218.24"
"1980-08-29 00:00:00.0";"25.29999";"-205.53999"
"1980-09-30 00:00:00.0";"24.79999";"-224.24"
"1980-10-31 00:00:00.0";"19.79999";"-261.54"
"1980-11-28 00:00:00.0";"16.4";"-348.14001"
"1980-12-30 00:00:00.0";"11.4";"-360.83999"
"1981-01-30 00:00:00.0";"9.9";"-362.73999"
"1981-02-27 00:00:00.0";"11.2";"-337.44"
"1981-03-31 00:00:00.0";"15.2";"-316.64001"
"1981-04-29 00:00:00.0";"15.2";"-328.33999"
"1981-05-29 00:00:00.0";"17.29999";"-284.23999"
"1981-06-30 00:00:00.0";"23.5";"-234.03999"
"1981-07-31 00:00:00.0";"25.9";"-205.94"
"1981-08-31 00:00:00.0";"25.4";"-215.94"
"1981-10-01 00:00:00.0";"23.7";"-231.53999"
"1981-12-02 00:00:00.0";"17.5";"-296.44"
"1982-01-04 00:00:00.0";"13.7";"-328.94"
"1982-01-29 00:00:00.0";"12.4";"-365.94"
"1982-05-31 00:00:00.0";"19.82399";"-261.61599"
"1983-09-29 00:00:00.0";"25.11";"-201.35"
"1983-12-02 00:00:00.0";"17.37";"-294.75"
"1984-10-03 00:00:00.0";"23.64699";"-243.30299"
"1985-10-01 00:00:00.0";"24.78";"-220.61"
"1985-12-31 00:00:00.0";"12.98";"-346.60998"
"1986-06-30 00:00:00.0";"21.90099";-244679
"1986-07-30 00:00:00.0";"24.78";"-216.90899"
"1988-03-04 00:00:00.0";"12.50801";"-360.37979"
"1988-05-10 00:00:00.0";"16.61438";-312345
"1988-05-18 00:00:00.0";"16.52";"-306.21789"
"1988-07-01 00:00:00.0";"20.15399";"-268.25601"
"1988-08-31 00:00:00.0";"25.11";"-230.94999"
"1988-09-16 00:00:00.0";"25.39399";"-219.72599"
"1988-10-13 00:00:00.0";"23.41099";-246488
"1988-12-02 00:00:00.0";"16.00099";"-313.22699"
"1989-01-31 00:00:00.0";"9.77";"-367.74099"
"1989-03-02 00:00:00.0";"11.8";"-344.03799"
"1989-05-03 00:00:00.0";"14.49";"-315.11898"
"1989-06-30 00:00:00.0";"22.46699";-233332
"1989-10-03 00:00:00.0";"22.70299";"-244.94599"
"1990-09-28 00:00:00.0";"23.93";"-269.07901"
"1990-10-31 00:00:00.0";"19.20999";"-288.39801"
"1990-12-31 00:00:00.0";"13.9";"-382.64001"
"1991-03-01 00:00:00.0";"10.62";"-371.07"
"1991-05-29 00:00:00.0";"18.78599";"-283.03399"
"1991-07-03 00:00:00.0";"23.41099";-301988
"1991-12-03 00:00:00.0";"14.49";"-348.42001"
"1992-05-28 00:00:00.0";"20.95677";"-268.52288"
"1992-06-30 00:00:00.0";"20.05999";"-269.52978"
"1992-07-31 00:00:00.0";"24.9688";"-243.9611"
"1992-09-02 00:00:00.0";"25.77119";"-240.5278"
"1992-09-30 00:00:00.0";"23.55279";"-251.9776"
"1992-12-30 00:00:00.0";"13.1688";"-377.3612"
"1993-02-01 00:00:00.0";"9.86478";"-377.56469"
"1993-03-01 00:00:00.0";"11.65841";"-368.15319"
"1993-03-30 00:00:00.0";"14.4904";"-341.01879"
"1993-04-29 00:00:00.0";"15.48159";"-331.33828"
"1993-06-01 00:00:00.0";"16.3784";"-304.43328"
"1993-07-29 00:00:00.0";"24.73279";"-224.94799"
"1993-09-01 00:00:00.0";"24.63839";"-241.0202"
"1993-09-06 00:00:00.0";"24.63839";"-233.6212"
"1993-09-30 00:00:00.0";"21.66478";"-270.06451"
"1993-11-03 00:00:00.0";"17.27518";"-307.12478"
"1993-12-03 00:00:00.0";"14.0184";"-336.29321"
"1994-01-04 00:00:00.0";"12.1304";"-376.5794"
"1994-02-01 00:00:00.0";"9.58159";-388789
"1994-03-02 00:00:00.0";"11.1392";"-389.96051"
"1994-03-30 00:00:00.0";"15.19841";"-327.7601"
"1994-04-18 00:00:00.0";"15.90638";"-329.30429"
"1994-08-02 00:00:00.0";"24.78";"-235.35479"
"1994-09-02 00:00:00.0";"24.9688";"-236.50439"
"1994-09-30 00:00:00.0";"22.18398";"-266.7004"
"1994-11-04 00:00:00.0";"19.3992";"-282.0957"
"1994-12-02 00:00:00.0";"15.6704";"-332.4346"
"1995-01-04 00:00:00.0";"12.50801";"-360.3244"
"1995-02-01 00:00:00.0";"11.42239";"-349.08029"
"1995-03-02 00:00:00.0";"12.79119";"-356.50131"
"1995-05-03 00:00:00.0";"16.56716";"-298.12881"
"1995-06-01 00:00:00.0";"20.2488";"-266.9255"
"1995-06-30 00:00:00.0";"21.99518";"-261.85031"
"1995-08-03 00:00:00.0";"25.4408";"-233.83309"
"1995-08-31 00:00:00.0";"25.95999";"-230.5245"
"1995-10-03 00:00:00.0";"25.91279";"-249.6627"
"1995-11-06 00:00:00.0";"21.52319";"-286.72079"
"1995-12-05 00:00:00.0";"15.81199";"-397.1231"
"1996-01-03 00:00:00.0";"13.78239";"-402.32119"
"1996-01-31 00:00:00.0";"11.6112";"-442.73419"
"1996-03-01 00:00:00.0";"10.4784";-439526
"1996-03-18 00:00:00.0";"9.81757";"-392.94909"
"1996-04-02 00:00:00.0";"13.68801";-399897
"1996-04-29 00:00:00.0";"16.3312";"-393.81219"
"1996-05-31 00:00:00.0";"17.22801";"-363.2066"
"1996-07-02 00:00:00.0";"22.89199";"-320.04168"
"1996-08-01 00:00:00.0";"24.30801";"-297.22711"
"1996-08-29 00:00:00.0";"23.12801";"-257.6567"
"1996-09-30 00:00:00.0";"20.53199";"-333.4031"
"1996-10-30 00:00:00.0";"19.30477";"-357.36938"
"1996-11-28 00:00:00.0";"15.15119";"-398.6426"
"1996-12-31 00:00:00.0";"12.27199";"-419.01321"
"1997-01-27 00:00:00.0";"10.9504";"-396.1546"
"1997-02-27 00:00:00.0";"13.07438";"-352.67831"
"1997-04-01 00:00:00.0";"16.80319";"-298.64318"
"1997-04-30 00:00:00.0";"16.52";"-332.0646"
"1997-05-30 00:00:00.0";"18.2192";"-283.22329"
"1997-07-01 00:00:00.0";"18.31358";"-278.25289"
"1997-08-29 00:00:00.0";"24.1192";"-240.57499"
"1997-10-02 00:00:00.0";"20.5792";"-317.96551"
"1997-11-04 00:00:00.0";"19.2104";"-362.3442"
"1997-12-03 00:00:00.0";"15.43438";"-317.1221"
"1997-12-31 00:00:00.0";"13.26319";"-335.33139"
"1998-01-30 00:00:00.0";"11.9888";"-352.53561"
"1998-02-26 00:00:00.0";"13.45199";"-369.7821"
"1998-04-02 00:00:00.0";"15.8592";"-311.38708"
"1998-05-05 00:00:00.0";"16.47279";"-329.00131"
"1998-06-30 00:00:00.0";"21.47598";"-250.35859"
"1998-07-30 00:00:00.0";"18.97438";"-295.22979"
"1998-08-31 00:00:00.0";"25.11039";"-234.59289"
"1998-10-06 00:00:00.0";"20.67359";"-312.99069"
"1998-11-04 00:00:00.0";"18.2192";"-290.62451"
"1998-12-03 00:00:00.0";"14.06558";"-339.29708"
"1998-12-30 00:00:00.0";"10.05359";-363863
"1999-02-02 00:00:00.0";"8.82637";"-384.12649"
"1999-03-02 00:00:00.0";"10.38399";"-359.40258"
"1999-03-05 00:00:00.0";"10.62";"-371.0144"
"1999-03-31 00:00:00.0";"15.90638";"-307.04959"
"1999-04-30 00:00:00.0";"16.00079";"-309.47549"
"1999-06-01 00:00:00.0";"18.59678";"-281.82659"
"1999-07-01 00:00:00.0";"20.48477";"-470.9389"
"1999-08-03 00:00:00.0";"24.1192";"-240.57499"
"1999-08-31 00:00:00.0";"23.88319";"-240.06059"
"1999-09-28 00:00:00.0";"21.5704";"-226.8847"
